ls;name;number;data_pov_next;location;type
900109;;;;;gv
900109;;;;;e
900110;;;;;hv
900110;;;;;gv
900110;;;;;e
900111;;;;;hv
900111;;;;;gv
900111;;;;;e
900112;;;;;hv
900112;;;;;gv
900112;;;;;e
900113;;;;;hv
900113;;;;;gv
900113;;;;;e
900114;;;;;hv
900114;;;;;gv
900114;;;;;e
900115;;;;;hv
900115;;;;;gv
900115;;;;;e
900116;;;;;hv
900116;;;;;gv
900116;;;;;e
900117;;;;;hv
900117;;;;;gv
900117;;;;;e
900118;;;;;hv
900118;;;;;gv
900118;;;;;e
900119;;;;;hv
900119;;;;;gv
900119;;;;;e
900120;;;;;hv
900120;;;;;gv
900120;;;;;e
900121;;;;;hv
900121;;;;;gv
900121;;;;;e
900122;;;;;hv
900122;;;;;gv
900122;;;;;e
900123;;;;;hv
900123;;;;;gv
900123;;;;;e
900124;;;;;hv
900124;;;;;gv
900124;;;;;e
900125;;;;;hv
900125;;;;;gv
900125;;;;;e
900126;;;;;hv
900126;;;;;gv
900126;;;;;e
900127;;;;;hv
900127;;;;;gv
900127;;;;;e
900128;;;;;hv
900128;;;;;gv
900128;;;;;e
900129;;;;;hv
900129;;;;;gv
900129;;;;;e
900130;;;;;hv
900130;;;;;gv
900130;;;;;e
900131;;;;;hv
900131;;;;;gv
900131;;;;;e
900132;;;;;hv
900132;;;;;gv
900132;;;;;e
900133;;;;;hv
900133;;;;;gv
900133;;;;;e
900134;;;;;hv
900134;;;;;gv
900134;;;;;e
900135;;;;;hv
900135;;;;;gv
900135;;;;;e
900136;;;;;hv
900136;;;;;gv
900136;;;;;e
900137;;;;;hv
900137;;;;;gv
900137;;;;;e
900138;;;;;hv
900138;;;;;gv
900138;;;;;e
900139;;;;;hv
900139;;;;;gv
900139;;;;;e
900140;;;;;hv
900140;;;;;gv
900140;;;;;e
900141;;;;;hv
900141;;;;;gv
900141;;;;;e
900142;;;;;hv
900142;;;;;gv
900142;;;;;e
900143;;;;;hv
900143;;;;;gv
900143;;;;;e
900144;;;;;hv
900144;;;;;gv
900144;;;;;e
