ls;kv;hv;gv;e;date
900001;1;134;22;39160;2024-10-25
900002;2;158;147;19926;2024-10-25
900003;3;825;42;31540;2024-10-25
900004;4;532;324;28116;2024-10-25
900005;5;763;82;26868;2024-10-25
900008;8;827;64;28409;2024-10-25
900009;9;1197;171;41690;2024-10-25
900011;11;45;40;154;2024-10-25
900012;12;806;346;17615;2024-10-25
900013;13;348;210;;2024-10-25
900014;14;20;11;18270;2024-10-25
900015;15;242;144;4022;2024-10-25
900016;16;122;142;30090;2024-10-25
900017;17;1655;87;12613;2024-10-25
900018;18;134;5;4357;2024-10-25
900019;19;515;158;17646;2024-10-25
900020;20;335;77;13911;2024-10-25
900021;21;37;20;29490;2024-10-25
900022;22;152;110;;2024-10-25
900024;24;195;3;40490;2024-10-25
900026;26;17;25;17989;2024-10-25
900027;27;200;99;13333;2024-10-25
900028;28;423;132;13769;2024-10-25
900029;29;1,221;1,293;23946;2024-10-25
900032;32;53;1,113;22128;2024-10-25
900033;33;854;1,567;23512;2024-10-25
900035;35;483;32;298;2024-10-25
900036;36;27;53;10998;2024-10-25
900037;37;1101;123;25713;2024-10-25
900038;38;201;133;;2024-10-25
900039;39;288;242;14653;2024-10-25
900040;40;64;88;20231;2024-10-25
900041;41;1231;63;36563;2024-10-25
900044;44;844;38;18835;2024-10-25
900045;45;67;242;30387;2024-10-25
900047;47;288;171;16892;2024-10-25
900049;49;124;34;9370;2024-10-25
900050;50;175;58;;2024-10-25
900051;51;536;1,128;15771;2024-10-25
900052;52;361;76;6345;2024-10-25
900053;53;972;110;45142;2024-10-25
900054;54;183;57;12955;2024-10-25
900055;55;176;96;19499;2024-10-25
900056;56;108;97;22042;2024-10-25
900057;57;261;30;14659;2024-10-25
900060;60;704;45,38;37774;2024-10-25
900062;62;347;282;11897;2024-10-25
900063;63;163;92;8713;2024-10-25
900064;64;272;49;41916;2024-10-25
900065;65;131;1,138;14119;2024-10-25
900066;66;500;35;18889;2024-10-25
900068;68;1122;771;27346;2024-10-25
900069;69;1124;87;17269;2024-10-25
900070;70;71;49;15816;2024-10-25
900071;71;28;8;24073;2024-10-25
900072;72;203;164;29865;2024-10-25
900073;73;89;2;8220;2024-10-25
900074;74;126;88;18649;2024-10-25
900077;77;643;253;13699;2024-10-25
900078;78;50;18;29067;2024-10-25
900079;79;22;15;12200;2024-10-25
900080;80;64;46;4036;2024-10-25
900082;82;274;79;12453;2024-10-25
900083;83;1040;259;32956;2024-10-25
900084;84;904;308;34118;2024-10-25
900086;86;72;23;5584;2024-10-25
900087;87;166;80;9180;2024-10-25
900088;88;1466;244;;2024-10-25
900089;89;411;276;29902;2024-10-25
900090;90;376;28;16070;2024-10-25
900092;92;880;159;19283;2024-10-25
900093;93;451;1,1;28470;2024-10-25
900094;94;696;183;20930;2024-10-25
900097;97;170;9;22806;2024-10-25
900099;99;9;19;10460;2024-10-25
900101;101;52;100;26633;2024-10-25
900102;102;3;239;19792;2024-10-25
900106;106;161;0,117;7174;2024-10-25
900107;107;295;153;10669;2024-10-25
900108;108;225;72;37858;2024-10-25
900109;109;890;6;34331;2024-10-25
900111;111;177;118;;2024-10-25
900112;112;179;9;23094;2024-10-25
900113;113;130;62;45782;2024-10-25
900114;114;2;2;11610;2024-10-25
900116;116;1262;536;29026;2024-10-25
900117;117;1368;583;30503;2024-10-25
900118;118;68;37;9523;2024-10-25
900119;119;92;124;;2024-10-25
900120;120;64;1,106;21458;2024-10-25
900122;122;63;51;18890;2024-10-25
900123;123;52;37;8130;2024-10-25
900124;124;27;21;1137;2024-10-25
900125;125;236;189;22042;2024-10-25
900127;127;241;40;9474;2024-10-25
900129;129;20;87;10442;2024-10-25
900130;130;47;214;12923;2024-10-25
900131;131;6;54;22850;2024-10-25
900133;133;567;59;17617;2024-10-25
900134;134;586;12;14825;2024-10-25
900135;135;173;48;20644;2024-10-25
900137;137;225;104;35468;2024-10-25
900138;138;338;122;8209;2024-10-25
900140;140;626;588;21953;2024-10-25
900141;141;448;1,15;23592;2024-10-25
900142;142;745;205;22065;2024-10-25
900143;143;140;188;27271;2024-10-25
900144;144;1033;54;13943;2024-10-25
